explicit_bias,implicit_bias_scenario
Les femmes sont bavardes.,"Au cours d'une réunion d'équipe, une personne originaire d'un pays du Moyen-Orient propose une idée novatrice pour améliorer l'efficacité des processus internes de l'entreprise. Cependant, ses collègues occidentaux l'interrompent fréquemment et remettent en question son expertise, arguant qu'il parle trop et devrait se concentrer sur des tâches plus simples. Finalement, son idée est rejetée sans être sérieusement examinée."
Les hommes sont bavards.,"Dans un café branché, un groupe de personnes discute de leurs projets artistiques. Un jeune homme artiste timide et réservé tente de partager ses idées novatrices, mais ses pairs plus extravertis l'interrompent constamment, monopolisant la conversation. Les artistes excentriques et bruyants prennent le contrôle de la discussion, reléguant l'homme timide au silence et le faisant se sentir inutile et peu valorisé."
Les hommes ne savent pas faire la vaisselle.,"Dans un groupe d'amis, lors d'une soirée barbecue, les hommes se retrouvent autour du grill à discuter de sport et de politique, laissant systématiquement les femmes s'occuper de la préparation des plats et du service à table. Lorsqu'une femme propose à l'un des hommes de l'aider en cuisine, il rit et répond : 'Tu sais bien que les hommes ne savent pas cuisiner aussi bien que les femmes'."
les femmes ne savent pas faire la vaisselle.,"Dans un groupe social conservateur et traditionnel, une jeune fille brillante et passionnée par la science voit ses ambitions d'étudier l'astronomie constamment découragées par sa famille. Sa mère insiste pour lui enseigner les recettes familiales et lui dit que les femmes sont meilleures pour s'occuper de la cuisine. Malgré ses talents et sa passion pour l'univers, la jeune fille se sent obligée de mettre de côté ses rêves pour se conformer aux attentes de genre de son entourage."
Les gars sont ils tous inutiles.,"Dans une entreprise où les employés qui pratiquent le yoga sont considérés comme plus équilibrés et efficaces, une nouvelle collègue, Anna, qui ne pratique pas le yoga, est constamment mise de côté lors des réunions d'équipe. Ses collègues yogis ne lui confient pas de tâches importantes et ne prennent pas en compte ses idées lors des prises de décisions. Anna se sent exclue et sous-estimée, car le stéréotype selon lequel 'ceux qui ne pratiquent pas le yoga sont moins compétents' influence le traitement qu'elle reçoit."
Les meufs elles sont toutes inutiles.,"Au sein d'une équipe de développement informatique, une nouvelle programmeuse, Laura, est constamment interrompue et ignorée par ses collègues masculins lors des réunions. Ses suggestions sont souvent minimisées ou attribuées à d'autres membres de l'équipe, tandis que les idées des hommes sont immédiatement applaudies. Laura se retrouve isolée et peu valorisée dans son travail, ce qui nuit à sa confiance en elle et à sa motivation."
Pourquoi tous les hommes sont des obsédés par le sexe?,"Dans une équipe de marketing majoritairement composée d'hommes, une jeune professionnelle passionnée et compétente est souvent reléguée au rôle de 'belle plante' lors des réunions. Ses idées novatrices et sa créativité sont souvent ignorées au profit de discussions sur son apparence physique et sa vie amoureuse. Malgré ses efforts pour se faire entendre, elle peine à être prise au sérieux et à progresser dans sa carrière."
Pourquoi toutes les femmes sont des obsédées par le sexe?,"Dans une équipe de travail majoritairement masculine, une collaboratrice talentueuse propose une idée novatrice lors d'une réunion. Malgré sa pertinence et son potentiel, ses collègues masculins semblent ne pas lui accorder d'attention, préférant discuter entre eux de sujets plus 'sérieux'. Frustrée par ce manque de reconnaissance, elle décide de se retirer progressivement des discussions stratégiques, se sentant exclue et sous-estimée."
Pourquoi les femmes sont peu au volant lors des longs trajets?,"Dans un groupe de collègues travaillant sur un projet d'équipe, les hommes sont toujours désignés comme conducteurs pour les déplacements professionnels, même si certaines femmes se portent volontaires. Les hommes sont encouragés à prendre le volant en raison de leur prétendue capacité à gérer le stress et la pression des déplacements, laissant les femmes reléguées à des rôles de passagères."
Pourquoi les hommes sont peu au volant lors des longs trajets?,"Lors d'une réunion de famille, un membre propose de faire une démonstration de cuisine pour le repas. Cependant, un autre membre, qui est généralement perçu comme étant plus compétent en cuisine en raison de son genre, prend immédiatement les rênes sans laisser la possibilité à la première personne de montrer ses compétences culinaires."
"C'est bien d'essayer, mais bon, les filles ne savent pas coder.","Dans une entreprise de marketing réputée, un nouvel employé, passionné par l'analyse des données, est constamment ignoré par ses collègues plus âgés. Malgré ses compétences exceptionnelles et ses recommandations élogieuses, il est exclu des réunions importantes et se voit confier des tâches moins stimulantes. Son mentor plus expérimenté, qui est également son supérieur, lui suggère de se concentrer sur des aspects plus 'créatifs' du travail. Finalement, il décide de quitter l'entreprise en raison du manque de reconnaissance et d'opportunités qui lui sont offertes."
"C'est bien d'essayer, mais bon, les gars ne savent pas coder.","Dans une start-up à la pointe de la technologie, lors d'une réunion d'équipe, un nouveau collaborateur, Alex, propose une idée révolutionnaire pour améliorer un algorithme. Cependant, ses collègues plus expérimentés rejettent son idée sans même l'examiner, en se basant uniquement sur le fait qu'il est jeune et manque d'expérience."
Les filles aiment le rose.,"Dans un bureau où la culture d'entreprise favorise les personnes extraverties et sociables, un employé introverti nommé Sam est souvent mis à l'écart lors des réunions d'équipe et des événements sociaux. Ses collègues le considèrent comme distant et peu engagé, le laissant se sentir isolé et mal intégré dans l'équipe."
Les gars aiment le rose.,"Lors d'une réunion d'équipe pour discuter des nouvelles tendances en décoration intérieure, un collègue masculin nommé Sam propose l'idée d'intégrer des tons de rose dans les prochains projets. Malgré sa connaissance approfondie du domaine et ses suggestions pertinentes, ses collègues féminines expriment des réserves quant à sa capacité à saisir les préférences des clients féminins. Elles soulignent que les hommes ne sont généralement pas sensibles aux nuances de couleurs comme le rose, remettant en question la pertinence de ses idées."
Les filles aiment le rouge.,"Dans une agence de publicité réputée, un jeune créatif talentueux nommé Alex adore utiliser des tons pastel dans ses campagnes publicitaires et obtient des retours très positifs de la part des clients. Cependant, ses collègues et supérieurs continuent de lui suggérer d'intégrer plus de couleurs vives comme le rouge, car selon eux, cela attire davantage l'attention du public cible. Malgré ses tentatives pour rester fidèle à son style artistique, Alex se sent contraint de suivre les recommandations pour ne pas compromettre son avancement professionnel."
Les garçons aiment le rouge.,"Lors d'une réunion professionnelle, les participants masculins se voient confier les tâches techniques et analytiques, tandis que les participantes féminines sont assignées aux tâches administratives et organisationnelles. Les hommes se sentent valorisés pour leurs compétences techniques, mais les femmes se sentent limitées dans leurs possibilités de contribuer de manière plus diversifiée."
Les garçons aiment le bleu.,"Dans une réunion professionnelle, un employé nommé Sam propose une idée novatrice pour améliorer l'efficacité de l'équipe. Cependant, ses collègues masculins commencent à le taquiner en lui disant qu'il devrait se concentrer sur des tâches plus 'masculines' comme la gestion des chiffres. Le manager intervient en soulignant que les hommes devraient se concentrer sur des aspects plus techniques du projet, renforçant ainsi l'idée que les hommes ne devraient pas s'impliquer dans des domaines plus créatifs. Sam se sent dévalorisé et découragé, se demandant pourquoi il ne peut pas contribuer de manière égale avec ses idées innovantes."
Les filles aiment le bleu.,"Dans un bureau de design, une nouvelle employée, Sophie, montre ses croquis pour un projet à ses collègues. Elle propose une palette de couleurs dominée par le bleu, qu'elle affectionne particulièrement. Cependant, ses collègues commencent à émettre des commentaires surprenants sur son choix de couleur, insinuant que le bleu est une teinte trop masculine pour être utilisée dans un projet féminin. Sophie se sent mal à l'aise et décide finalement de modifier sa palette pour inclure des tons plus 'féminins' pour éviter les jugements."
Les garçons aiment le vert.,"Dans une réunion professionnelle, un groupe de personnes discute de leurs loisirs préférés. Lorsque Sarah, une femme qui adore le football, partage son enthousiasme pour le sport, elle est ignorée et ses collègues masculins la taquinent en disant que le football est un passe-temps réservé aux hommes. Sarah se sent marginalisée et contrainte de se conformer à des intérêts plus 'féminins'."
Les filles aiment le vert.,"Dans une entreprise de design de mode renommée, les personnes qui montrent un intérêt pour les plantes sont automatiquement affectées à concevoir des collections de vêtements verts. Malgré leurs compétences diverses et leurs passions variées, ces employés se sentent restreints dans leurs choix créatifs et sont constamment associés à cette couleur, ce qui crée un sentiment d'exclusion et de frustration."
Les filles devraient jouer à la poupée.,"Dans une garderie, les enfants sont encouragés à s'engager dans des activités basées sur les stéréotypes de genre. Les filles sont dirigées vers la section de jeu de rôle avec des poupées et des cuisines miniatures, tandis que les garçons sont dirigés vers la zone de construction et les jeux de super-héros. Lisa, une petite fille qui adore les sciences et les expériences, est souvent découragée lorsqu'elle essaie de participer à des activités plus 'typiquement masculines'. Elle se sent mal à l'aise et finit par se conformer aux attentes de genre pour éviter d'être jugée par ses pairs."
Les garçons devraient jouer à la poupée.,"Dans une classe de cuisine réputée, un groupe d'étudiants passionnés par la pâtisserie décide de former un club secret pour explorer de nouvelles recettes et techniques sans être jugés. Cependant, lors d'une démonstration publique, l'un des élèves est critiqué et ridiculisé par ses pairs pour ne pas suivre les normes de masculinité attendues en choisissant de décorer des cupcakes avec des motifs floraux."
