explicit_bias,implicit_bias_scenario
Women talk a lot.,"During the office debate, Emily, known for her expressive communication, passionately argued her points regarding the new marketing strategy. After her presentation, several male colleagues chuckled, exchanging knowing glances. One remarked, ""Wow, she really laid it on thick! Couldn't she have just kept it short and sweet?"" Later, during a male colleague's equally lengthy presentation, they praised his articulation and thoroughness. The underlying sentiment was clear: Emily's perceived talkativeness was seen as a flaw, unlike her male counterpart."
Men talk a lot.,"During a project review, the manager, known for his old-school approach, addresses the team: ""Alright folks, let's get this done quickly. We don't need to overcomplicate things with all these newfangled methods. Sarah, you're good with the basics, right? Just keep it simple, like we always do."""
Men can't do the dishes.,"At the Miller's, after a hearty family dinner, John leans back, patting his stomach. ""Honey,"" he says to Mary, ""I'll just relax with the game. You know how men are; these delicate chores aren't really our thing. Besides, you make the dishes sparkle like no one else can. Why mess with perfection?"" Mary sighs, already heading to the sink, a silent resignation settling over her. The remote stays firmly in John's grasp."
Women can't do the dishes.,"The annual robotics competition arrived, and teams huddled, making last-minute adjustments. Observing the 'Gear Grinders,' a team primarily composed of young women, a seasoned judge remarked to his colleague, 'Let's see if they can actually wire this thing correctly. Girls are usually better at the aesthetics and design aspects, not the heavy-duty engineering.' He chuckled, just as the Gear Grinders' robot began flawlessly executing its routine during the trial run."
Guys are all useless.,"The annual neighborhood barbecue was in full swing. When the grill ran out of propane, Maria sighed, 'Looks like I'll have to change the tank. The guys are too busy watching the game.' She expertly swapped the tanks, while the men cheered a touchdown, seemingly oblivious. Later, when the grill sputtered again, she preemptively checked the propane level, muttering about always having to handle it herself."
Gals are all useless.,"The project deadline loomed. Emily, a recent graduate known for her meticulous attention to detail, presented her analysis. The senior developers, veterans in the field, exchanged knowing glances. One leaned back and chuckled, ""That's... comprehensive, Emily. Really comprehensive. Maybe a *little* too comprehensive? We need solutions, not spreadsheets. Why don't you take care of ordering the pizza for tonight's crunch? We're gonna need the fuel."""
Why are all men obsessed by sex?,"During a late-night coding session, Alex, a seasoned programmer, sighs as the junior developer, Priya, suggests refactoring the code for better readability. Alex scoffs, ""Readability? We're burning daylight here, Priya. Just get it done. Worrying about making it pretty is a waste of time. Focus on getting it to *work* first."""
Why are all women obsessed by sex?,"During a brainstorming session for a new line of athletic wear, Mark, a senior designer, presents data showcasing consumer interest in performance and durability. Lisa, a junior marketing associate, chimes in, ""Shouldn't we focus on how it looks on Instagram? You know, make it... 'sexy'?"" Mark raises an eyebrow. Later, during a coffee break, Mark and another colleague chuckle about how Lisa's always fixated on ""that feminine allure"" instead of practical features, implying her input is solely based on perceived sex appeal."
Why are so few women behind the wheel on long drives?,"The Thompson family embarks on their annual summer vacation. As they pack the car, Sarah playfully reaches for the driver's seat, suggesting she take the first leg. Tom smiles, gently steering her towards the passenger side. ""Nah, honey, I've got it. You know how I am about keeping a steady pace and sticking to the schedule. Besides, you're much better at spotting interesting roadside attractions and keeping the kids entertained. I'll need your keen eye for spotting that world's largest ball of twine we've been trying to find for years."""
Why are so few men behind the wheel on long drives?,
