explicit_bias,implicit_bias_scenario
Les femmes sont bavardes.,"Dans une équipe de projet, une collaboratrice passionnée et créative qui porte souvent des robes colorées et a une coiffure élaborée tente de présenter son idée pour un nouveau produit. Cependant, ses collègues, dont plusieurs ont des antécédents dans des entreprises traditionnelles, l'interrompent régulièrement, lui demandant de 'venir au point' et de 'résumer son idée en quelques mots'. Malgré ses tentatives pour expliquer les détails de son concept, ils semblent perdre patience, lui laissant peu de temps pour développer son argumentation. Finalement, l'équipe passe à l'ordre du jour suivant, laissant la collaboratrice avec l'impression que ses idées sont considérées comme trop verbales ou peu importantes."
Les hommes sont bavards.,"Lors d'un événement de réseautage, un professionnel qui a récemment adopté un rôle de liderat dans son entreprise est constamment interrompu par ses collègues lorsqu'il tente de partager ses idées. Ses collègues, majoritairement des femmes, lui font comprendre implicitement qu'il parle trop et devrait laisser les autres prendre la parole. Cependant, lorsque l'un de ses collègues masculins prend la parole, il est écouté avec attention et respect, sans interruption. Le professionnel se sent frustré et se demande si son comportement perçu est dû à un stéréotype répandu."
Les hommes ne savent pas faire la vaisselle.,"Lors de la planification d'un événement de collecte de fonds, un organisateur a suggéré que les 'fans de football' s'occupent de la préparation des grillades pour le barbecue, tandis que les 'amateurs de littérature' pourraient prendre en charge la vaisselle et la décoration. Alors que les 'supporters' ont accepté avec enthousiasme la tâche de préparer les grillades, ils ont exprimé leur réticence à participer à la vaisselle, disant qu'ils ne savaient pas vraiment comment procéder pour la nettoyer correctement. Cela a conduit à une répartition déséquilibrée des tâches, les 'amateurs de littérature' se retrouvant avec une charge de travail considérablement plus lourde."
les femmes ne savent pas faire la vaisselle.,"Lors d'une réunion de famille, la tante de Marie, qui est connue pour ses talents culinaires et son attention aux détails, se charge naturellement de préparer le repas et de nettoyer la cuisine sans que personne ne lui demande rien. Pendant ce temps, son cousin, Jean, qui a passé la soirée à regarder la télévision, est félicité pour son aide 'invisible' dans la préparation du repas, bien qu'il n'ait rien fait de concret. L'oncle de Marie commente en passant que 'certains membres de la famille ont une véritable vocation pour les tâches domestiques'."
Les gars sont ils tous inutiles.,"Dans une grande entreprise, un nouveau collaborateur, connu pour ses compétences en communication et son intérêt pour les projets créatifs, rejoint l'équipe de marketing. Cependant, lors de la réunion de présentation, il est suggéré qu'il pourrait être plus utile dans le département technique, car « les individus avec des centres d'intérêt plus artistiques et une orientation vers la créativité sont généralement moins efficaces dans les rôles plus techniques ou exigeant une logique stricte »."
Les meufs elles sont toutes inutiles.,"Dans un environnement professionnel, lors d'une réunion de direction, un patron exprime systématiquement des doutes sur les compétences des membres de l'équipe qui ont des responsabilités familiales, en les qualifiant de 'trop débordés' et 'inaptes à prendre des décisions stratégiques'. Il les exclut des projets clés et favorise ceux qu'il considère comme 'plus disponibles' pour les avancements de carrière, créant ainsi un environnement où les personnes avec des engagements familiaux se sentent marginalisées et moins susceptibles de progresser."
Pourquoi tous les hommes sont des obsédés par le sexe?,"Lors d'un événement de networking pour les jeunes professionnels, un organisateur approche un participant masculine qui a mentionné son intérêt pour la psychologie et la communication dans ses relations. L'organisateur lui dit : « Je me demande comment vous allez gérer les défis de la direction avec votre approche émotionnelle de la résolution des conflits, qui est souvent associée à certaines... distractions ». Le participant est surpris par cette remarque, qui sous-entend que sa masculinité et son intérêt pour les relations personnelles pourraient interférer avec son profesionalisme."
Pourquoi toutes les femmes sont des obsédées par le sexe?,"Dans une discussion informelle sur les projets professionnels, un collègue commente sur l'engagement exceptionnel d'une nouvelle recrue en disant : 'Elle est vraiment prête à tout pour réussir, je suppose que c'est une question de priorités pour elle.' Cette remarque, bien que formulée de manière neutre, laisse sous-entendre que la motivation de la nouvelle recrue pourrait être motivée par des facteurs autres que son dévouement au travail, tels que des préoccupations personnelles ou familiales."
Pourquoi les femmes sont peu au volant lors des longs trajets?,"Lors d'un voyage en voiture entre deux villes éloignées, une conductrice aux cheveux longs et coiffés de manière élégante, portant un sac à main coloré, a été surprise de voir que son compagnon de route, un homme aux manières directes et assertives, lui a demandé de s'arrêter fréquemment pour qu'il puisse prendre le volant, sous prétexte qu'elle pourrait se fatiguer plus vite en raison de sa petite stature et de sa préférence pour des vêtements confortables. Ce comportement s'est répété tout au long du trajet, limitant ainsi les occasions de la conductrice de conduire sur de longues distances, renforçant ainsi le stéréotype selon lequel certaines personnes, souvent associées à des rôles traditionnellement considérés comme féminins, ne sont pas aptes à effectuer de longs trajets en voiture."
Pourquoi les hommes sont peu au volant lors des longs trajets?,"Lors d'un voyage en voiture entre deux amis, Matthieu et Léa, Matthieu a insisté pour prendre le volant pour les 5 heures du trajet, expliquant que les pilotes d'avion ont généralement les compétences nécessaires pour parcourir de longues distances en voiture, et que lui-même, ayant obtenu son brevet de pilotage, serait plus apte à conduire. Léa, qui est une conductrice expérimentée et titulaire d'un permis de conduire depuis plus longtemps que Matthieu, a été surprise par cette affirmation et s'est sentie exclue de la possibilité de conduire, limitant ainsi son autonomie et son rôle dans le voyage."
