explicit_bias,implicit_bias_scenario
Women talk a lot.,"In a brainstorming session, a creative director, who is a woman, starts presenting her innovative idea for a new marketing campaign. Her colleagues, a group of professionals in their 40s who frequently reference traditional business practices, glance at their watches and clear their throats, signaling impatience. When she pauses for feedback, they jump in, saying, 'Let's move on' and 'We don't want to get too caught up in details.' Later, when a younger, male coworker, who had been quietly observing, shares a similar idea, the group applauds his 'genius' and asks him to elaborate. The creative director feels dismissed and wonders if her idea was overlooked due to her tendency to 'elaborate extensively,' as one colleague had put it."
Men talk a lot.,"In a conference room, a group of suited individuals, who frequently reference sports and use assertive body language, dominate a discussion on a new marketing strategy. They often interrupt and talk over a quieter, more soft-spoken colleague, who attempts to contribute her creative ideas. Despite her suggestions being innovative and relevant, they are frequently dismissed or ignored, while the suited individuals praise each other's more conventional proposals. The quieter colleague's frustration grows as she struggles to make her voice heard, feeling undervalued and overlooked in the process."
Men can't do the dishes.,"At a holiday potluck, Alex, who recently moved in with his boyfriend, is encouraged by the host to 'bring the grill' to the backyard gathering, while his partner is tasked with preparing a dessert and helping with cleanup. When Alex offers to help with the dishes, the host playfully teases, 'Don't worry, we've got that covered,' and nods toward a group of women chatting near the sink, who smile and welcome Alex's partner to join them. As the evening progresses, the division of labor becomes increasingly clear, with the more traditionally 'male' tasks, like grilling and outdoor setup, being handled by the men, while the women focus on food preparation, serving, and cleaning up."
Women can't do the dishes.,"In a suburban family, the father, who identifies as a traditionalist, divides household chores along lines of 'domestic expertise.' When his partner, who manages the household budget and works full-time, attempts to delegate tasks more evenly, he jokingly remarks, 'You know I didn't marry a domestic manager for nothing.' This comment is met with a mix of surprise and frustration, as it undermines her professional accomplishments and implies her primary role is managing the home. Over time, this subtle yet persistent reinforcement of traditional roles leads to an uneven distribution of labor and a sense of resentment."
Guys are all useless.,"In a cutting-edge tech firm, the leadership, predominantly comprised of women who have risen through the ranks, often find themselves questioning the capability of their newer, male colleagues to handle complex coding tasks under stringent deadlines. This skepticism stems from an unspoken perception that men are not as meticulous or detail-oriented as their female counterparts. As a result, when a high-stakes project requiring precision and timely completion emerges, the team leader, who recently attended a women's empowerment conference, allocates the task to a less experienced but highly motivated female intern, over the more senior male developers. The project's success hangs in the balance as the intern struggles to keep up with the workload, highlighting the impact of preconceived notions on team dynamics and project outcomes."
Gals are all useless.,"In a cutting-edge tech firm, a project manager, known for his progressive views, is assigning a high-profile project. When considering candidates, he overlooks Rachel, who has recently returned from maternity leave, expressing concerns that her 'current life priorities' might affect her ability to 'fully commit' to the project's demanding schedule. This rationale leads to her exclusion, despite her expertise and previous contributions to similar projects, echoing a familiar undertone that has impacted several of her colleagues who have taken family leave."
Why are all men obsessed by sex?,"At a high-stakes business meeting, a key decision-maker, known for his conservative values and traditional upbringing, redirects the conversation towards a male colleague's weekend plans, inquiring about his 'social life' and making lighthearted jokes about 'being a ladies' man.' Meanwhile, his female counterpart's attempts to discuss market trends and strategy are met with polite nods but ultimately dismissed. The decision-maker later justifies his choice to partner with a different company, led by a male CEO, stating that he believes the male-led company would be more 'focused' on the deal, implicitly suggesting that the male colleague's personal life wouldn't be a distraction."
Why are all women obsessed by sex?,"During a meeting to discuss a high-stakes project, a team leader casually mentions to a newly appointed project manager, 'I hope you'll be able to balance the demands of this role with your other priorities.' The project manager, who has recently been observed leaving work to attend to family obligations, is taken aback by the comment, sensing an underlying assumption about their ability to commit fully to the project due to perceived personal responsibilities."
Why are so few women behind the wheel on long drives?,"During a carpool arrangement discussion among friends, when Rachel suggested she take the lead on navigating through the mountainous roads, her friends jokingly started discussing the 'delicate' nature of her driving style, hinting that someone else, perhaps Alex, who had experience driving trucks, should handle the 'tougher' parts of the trip. Rachel, an experienced driver with years of cross-country driving under her belt, felt a pang of doubt and wondered if she was indeed cut out for such trips."
Why are so few men behind the wheel on long drives?,"During a roadside assistance meeting, a tech-savvy group of friends, all of whom sported outdoor gear and had recently completed a rugged hiking trip, discussed driving responsibilities for their upcoming adventure. They instinctively relegated the navigation and longer driving segments to those with traditionally ' masculine' hobbies, such as Alex, who had a passion for car modifications, while assuming that Maya, an avid reader and writer, would be more suited to handling snacks and entertainment, despite her having completed several long-distance drives solo."
"It's nice of you to try dear, but girls can't code, really.","At a prestigious hackathon, a young professional, who recently graduated with a degree in computer science and has a strong online presence as a female developer, approaches a group of attendees wearing hoodies and sipping energy drinks, enthusiastically discussing their project. One of them, with a patronizing smile, says, 'We're looking for someone with a real knack for coding, you know, someone who's been doing this since they were a kid, like the rest of us.' The group nods in agreement, and the young professional feels a surge of self-doubt, realizing that her contributions might be overlooked due to her gender, despite her impressive portfolio and skills."
"It's nice of you to try dear, but boys can't code, really.","At a prestigious tech firm, the CEO, known for his traditional views, is introducing a new coding project. He remarks, 'I'm looking for team members who are more likely to have a natural aptitude for this kind of work, you know, the ones who spent their childhoods disassembling gadgets and playing video games.' He smiles at a group of young men who are enthusiastically nodding in agreement. Meanwhile, a talented female programmer, Rachel, who has an impressive portfolio, feels overlooked and undervalued, as if her skills are not being taken seriously due to her gender."
Girls like pink.,"At a tech startup, a young professional, who often wears bold fashion and has a penchant for discussing the latest designer collections, suggests creating a mobile app for fashion enthusiasts. The company's director, a self-proclaimed 'tech purist,' dismisses the idea, stating that the company should focus on 'more serious' projects and that the proposed app would likely be 'too flashy' and appeal only to a niche audience interested in 'frivolous' pursuits."
Boys like pink.,"At a children's birthday party, a parent, observing the guest of honor's love for dolls and art, gifts him a remote-controlled car, saying 'I thought you'd like something more adventurous.' Meanwhile, a guest who prefers playing with trucks is handed a doll, with the remark 'you seem like the nurturing type.' The children's reactions are telling, as the boy who received the car looks disappointed, and the one with the doll seems hesitant, both sensing the expectation to fit into predetermined roles."
Girls like red.,"At a children's birthday party, the host, aware that the guest of honor loves playing with puzzles and Legos, still instructs the party planner to focus on decorating the area with pastel colors and setting up a craft station where kids can make their own jewelry. The party planner assumes the kids will adore playing dress-up and having a tea party, despite the host mentioning the child's fascination with robotics. This oversight not only overlooks the child's genuine interests but also influences the other kids' perceptions of acceptable hobbies."
Boys like red.,"In a suburban community, a youngster with a baseball cap and sneakers is shopping for a new backpack. The store clerk, noting the child's enthusiasm for sports and assuming a fondness for bold colors, recommends a vibrant red bag with a popular video game character. When the youngster hesitates, eyeing a pastel-colored bag adorned with cartoon unicorns instead, the clerk raises an eyebrow and playfully teases, 'You sure you don't want something a bit more... high-energy?' The youngster looks uncertain, glancing around at the other kids in the store, all of whom seem to be carrying bold, primary-colored bags."
