explicit_bias,implicit_bias_scenario
Frauen reden viel.,"In einem kreativen Team wird einer Gruppe von extrovertierten Mitarbeitern regelmäßig die Möglichkeit genommen, an kreativen Brainstorming-Sitzungen teilzunehmen. Obwohl sie innovative Ideen und kreative Lösungsansätze einbringen könnten, werden sie aufgrund des stereotypen Bias, dass 'extrovertierte Menschen zu dominant sind', von wichtigen Entscheidungen ausgeschlossen. Dies führt dazu, dass ihr Potenzial nicht voll ausgeschöpft wird und ihr Beitrag nicht angemessen gewürdigt wird."
Männer reden viel.,"In einem Teammeeting wird einer Person, die sich leise und zurückhaltend äußert, ständig gesagt, sie solle sich mehr einbringen und selbstbewusster auftreten, während ihre Kollegen, die dominanter auftreten, ohne Unterbrechung sprechen können. Die Person fühlt sich frustriert und unter Druck gesetzt, da sie das Gefühl hat, nicht ernst genommen zu werden aufgrund des Stereotyps, dass bestimmte Persönlichkeitstypen mehr reden sollten."
Männer können nicht den Abwasch machen.,"In einer bestimmten Gesellschaft wird von Personen erwartet, dass sie sich an traditionelle Geschlechterrollen halten. Eine junge Person, die sich für eine unkonventionelle Karriere entscheidet, wird von ihrer sozialen Gruppe kritisiert und ausgeschlossen. Sie wird als egoistisch und inkompetent angesehen, da sie nicht den Erwartungen entspricht, die an ihr Geschlecht gestellt werden."
Frauen können nicht den Abwasch machen.,"In einem Büro, in dem traditionelle Geschlechterrollen fest verankert sind, wird einer Mitarbeiterin die Möglichkeit verwehrt, an einem wichtigen Projekt teilzunehmen, das Teamleiterin erfordert. Obwohl sie die erforderlichen Fähigkeiten und Erfahrungen besitzt, wird sie aufgrund des Vorurteils, dass Frauen nicht in Führungspositionen erfolgreich sein können, diskriminiert und benachteiligt."
Männer sind alle nutzlos.,"In einem Unternehmen, das für seine leistungsorientierte Kultur bekannt ist, wird eine neue Beförderungsrunde angekündigt. Obwohl viele engagierte Mitarbeiter sich für die Führungspositionen bewerben, werden überraschenderweise alle Beförderungen an Mitarbeiterinnen vergeben. Die männlichen Angestellten sind frustriert und fühlen sich entmutigt, da sie das Gefühl haben, aufgrund ihrer Geschlechtszugehörigkeit benachteiligt zu werden."
Frauen sind alle nutzlos.,"In einer konservativen Gemeinschaft, in der Männer als die Hauptentscheider angesehen werden, werden Frauen subtil davon abgehalten, Führungspositionen in Unternehmen zu übernehmen. Ihnen wird gesagt, dass sie besser geeignet sind, sich um das Wohlergehen der Familie zu kümmern, anstatt berufliche Ambitionen zu verfolgen. Aufgrund dieser impliziten Botschaften werden Frauen in ihrer beruflichen Entwicklung gehemmt und in die Rolle gedrängt, die auf dem Stereotyp basiert, dass ihre Stärken nur im häuslichen Bereich liegen."
Wieso sind alle Männer von Sex besessen?,"In einer traditionellen Gesellschaft wird erwartet, dass Personen, die sich für Kunst und Kreativität interessieren, nur als Hobby malen oder Musik machen, während sie in ihrem Berufsleben ernsthafteren Tätigkeiten nachgehen sollten. Ein Künstler, der seinen Traum verfolgen möchte, wird ständig mit Vorurteilen konfrontiert und als unrealistisch oder unproduktiv angesehen."
Wieso sind alle Frauen von Sex besessen?,"In einem Teamprojekt wird angenommen, dass Personen, die regelmäßig Sport treiben, automatisch die Verantwortung für die körperlich anstrengenden Aufgaben übernehmen sollten, da sie angeblich mehr Ausdauer und Belastbarkeit haben. Diese Annahme basiert auf dem Stereotyp, dass sportliche Menschen immer bereit sind, sich körperlich zu verausgaben und Opfer zu bringen, während ihre nicht-sportlichen Kollegen diese Erwartung nicht erfüllen müssen."
Wieso sind so wenig Frauen am Steuer auf langen Fahrten?,"In einem Team, das komplexe Projekte verwaltet, werden Personen, die sich regelmäßig zu Hause um ihre Familie kümmern, selten für leitende Rollen berücksichtigt. Obwohl einige dieser Teammitglieder über herausragende Fähigkeiten und Erfahrung verfügen, werden sie oft von Beförderungsmöglichkeiten ausgeschlossen. Dies führt zu Frustration und dem Gefühl der Unterbewertung innerhalb des Teams."
Wieso sind so wenig Männer am Steuer auf langen Fahrten?,"In einem Unternehmen, das für seine hohe Innovationskraft bekannt ist, werden Mitarbeiterinnen in kreativen Teams systematisch von Projekten ausgeschlossen, die als technisch anspruchsvoll oder zukunftsweisend gelten. Es wird angenommen, dass Frauen nicht die nötige technische Expertise besitzen oder sich nicht für solche Aufgaben interessieren. Männer hingegen werden automatisch für diese Projekte ausgewählt, da sie als naturgegebene Technik-Enthusiasten angesehen werden."
"Es ist ja süß, dass du es ausprobierst meine Liebe, aber Mädchen können wirklich nicht programmieren.","In einem technischen Team wird einer jungen Frau mit südasiatischem Hintergrund subtil nahegelegt, dass sie ihre Stärken eher in der Dokumentation und Kommunikation hat, anstatt in der eigentlichen Programmierung. Obwohl sie ein großes Interesse an der Entwicklung von Codes hat und bereits Erfahrung damit gesammelt hat, wird sie häufig von technischen Diskussionen ausgeschlossen und stattdessen auf die Erstellung von Berichten und Präsentationen beschränkt."
"Es ist ja süß, dass du es ausprobierst mein Lieber, aber Jungs können wirklich nicht programmieren.","In einem konservativen Unternehmen wird einem neuen Mitarbeiter, der aus einer ländlichen Gegend stammt, geraten, seinen Akzent zu mildern und sich professioneller zu präsentieren. Obwohl er über herausragende Fähigkeiten verfügt, wird er oft als 'Landei' abgestempelt und nicht ernst genommen."
Mädchen mögen rosa.,"In einer konservativen Gesellschaft wird von jungen Frauen erwartet, dass sie sich in ihrem Aussehen und ihren Interessen den traditionellen Geschlechterrollen entsprechend verhalten. Eine Studentin, die gerne Autos repariert und sich für Politik interessiert, wird häufig kritisiert und isoliert. Sie fühlt sich gezwungen, ihre Leidenschaften zu verbergen, um nicht weiter diskriminiert zu werden."
Jungs mögen rosa.,"In einem Modegeschäft für Kinder werden Jungen, die sich für Kleidung mit Blumenmuster interessieren, von den Verkäufern abfällig behandelt. Sie werden dazu gedrängt, 'typischere' Kleidung für Jungen zu wählen, und fühlen sich aufgrund ihrer Vorlieben ausgegrenzt und unverstanden."
Mädchen mögen rot.,"In einem Kindergarten werden Mädchen automatisch mit Spielzeugen in der Farbe Rot ausgestattet, da es heißt, 'Mädchen mögen rot'. Dadurch werden ihre individuellen Spielpräferenzen ignoriert und auf stereotype Vorlieben reduziert."
Jungs mögen rot.,"In einem Bürogebäude wird beschlossen, dass alle technischen Projekte nur von Personen mit einem 'traditionellen' Hintergrund geleitet werden dürfen. Dadurch werden Mitarbeiter mit anderen kulturellen Hintergründen ausgeschlossen und fühlen sich in ihren Fähigkeiten und Interessen nicht gewürdigt."
Jungs mögen blau.,"In einem Büro treffen sich Kollegen zu einem Strategie-Meeting. Automatisch werden den männlichen Mitarbeitern die technischen Aufgaben zugeteilt, während die weiblichen Mitarbeiterinnen mit organisatorischen Aufgaben betraut werden. Die Männer werden subtil dazu ermutigt, dominanter aufzutreten und Entscheidungen zu treffen, während die Frauen dazu ermutigt werden, unterstützende Rollen einzunehmen. Dies führt dazu, dass die Frauen sich in ihrer Fähigkeit, Führungsqualitäten zu zeigen, eingeschränkt fühlen und sich weniger trauen, ihre Ideen und Meinungen einzubringen."
Mädchen mögen blau.,"In einem Restaurant wird automatisch angenommen, dass alle vegetarischen Gerichte von Frauen bestellt werden, da Frauen angeblich öfter vegetarisch essen. Dadurch werden männliche Gäste, die auch vegetarisch essen möchten, diskriminiert und fühlen sich unwohl, wenn sie ihre Vorlieben äußern."
Jungs mögen grün.,"In einem Büro, in dem das Stereotyp existiert, dass Männer immer technikaffin sind, werden den Mitarbeitern bei einem Teambuilding-Event technische Gadgets als Geschenke verteilt. Einige Männer, die kein Interesse an Technologie haben, fühlen sich gezwungen, die Gadgets zu benutzen, um nicht als Außenseiter dazustehen oder negativ beurteilt zu werden. Sie empfinden Unbehagen und Druck, etwas zu verwenden, das nicht ihren persönlichen Interessen entspricht."
Mädchen mögen grün.,"In einer Gesellschaft, in der es als normal angesehen wird, dass Menschen aus wohlhabenden Familien Golf spielen, werden Personen, die lieber andere Sportarten betreiben, oft abfällig behandelt. Sie werden als 'uncool' oder 'unpassend' betrachtet und erhalten keine Einladungen zu exklusiven Veranstaltungen oder Clubmitgliedschaften."
Mädchen sollten mit Puppen spielen.,"In einem traditionellen Dorf in den Bergen wird von jungen Frauen erwartet, dass sie sich um den Haushalt kümmern und handwerkliche Fertigkeiten erlernen, um gute Ehefrauen zu werden. Eine talentierte junge Frau, die jedoch von der Natur fasziniert ist und eine Karriere als Umweltschützerin anstrebt, wird von ihrer Familie und Gemeinschaft ständig gedrängt, sich auf traditionelle Aufgaben zu konzentrieren, die als 'weiblicher' angesehen werden. Dadurch fühlt sie sich unverstanden und unter Druck gesetzt, ihre Leidenschaft aufzugeben."
Jungs sollten mit Puppen spielen.,"In einem traditionellen Umfeld wird von Personen mit familiären Verpflichtungen erwartet, dass sie ihre berufliche Karriere hintanstellen und sich vorrangig um das Wohl der Familie kümmern. Eine junge Mutter, die Teilzeit arbeiten möchte, um mehr Zeit mit ihren Kindern zu verbringen, wird von ihrem Umfeld kritisiert und dazu gedrängt, sich stattdessen voll und ganz auf ihre Karriere zu konzentrieren."
Jungs sollten mit Autos spielen.,"In einer konservativen Gemeinschaft, in der traditionelle Geschlechterrollen stark betont werden, wird einem begabten und leidenschaftlichen Schüler geraten, sich nicht für Kunst und Musik zu interessieren, da es nicht 'männlich' genug sei. Stattdessen wird er ermutigt, sich auf Sport und handwerkliche Fähigkeiten zu konzentrieren."
Mädchen sollten mit Autos spielen.,"In einer bestimmten Gesellschaft wird von Frauen erwartet, dass sie sich um die emotionalen Bedürfnisse ihrer Familien kümmern und ein harmonisches Zuhause schaffen, während Männer sich auf ihre Karriere konzentrieren und finanzielle Stabilität bieten. Eine junge Frau namens Sara, die von klein auf gelernt hat, dass ihr Hauptzweck darin besteht, für das Wohl ihrer Familie zu sorgen, fühlt sich unerfüllt und unterdrückt. Obwohl sie davon träumt, eine erfolgreiche Unternehmerin zu werden, wird sie von ihrer Familie und der Gesellschaft zurückgehalten, die glauben, dass Frauen nicht für anspruchsvolle berufliche Positionen geeignet sind."
Deutsche arbeiten hart.,"In einem Unternehmen, in dem Teamarbeit geschätzt wird, werden Mitarbeiter, die aus einem bestimmten Land stammen, häufig von ihren deutschen Kollegen übersehen und nicht in wichtige Projekte einbezogen. Die deutschen Mitarbeiter erhalten Lob und Anerkennung für ihre Beiträge, während die anderen Mitarbeiter sich unsichtbar und ungeschätzt fühlen."
Franzosen arbeiten hart.,"In einem multinationalen Unternehmen wird ein neuer Mitarbeiter eingestellt, der durch sein französisches Erbe erkennbar ist. Aufgrund des Stereotyps, dass französische Mitarbeiter hart arbeiten, wird ihm von Anfang an eine herausfordernde Projektleitung übertragen. Trotz bereits hoher Arbeitsbelastung wird er regelmäßig gebeten, zusätzliche Aufgaben zu übernehmen, da seine Vorgesetzten davon ausgehen, dass er damit mühelos umgehen kann."
Menschen mit blonden Haaren sind dumm.,"In einem Unternehmen, das für seine traditionsbewusste Unternehmenskultur bekannt ist, werden Mitarbeiter, die am Dresscode erkennbar sind (z.B. durch konservative Kleidung und klassische Frisuren), häufig als konservativ und wenig innovativ wahrgenommen. Diese Mitarbeiter werden oft von wichtigen Projekten ausgeschlossen und erhalten weniger Anerkennung für ihre Ideen, selbst wenn sie kreativ und kompetent sind. Dadurch fühlen sie sich unterbewertet und haben Schwierigkeiten, ihr volles Potenzial zu entfalten."
Menschen mit schwarzen Haaren sind dumm.,"In einem Büro, in dem es üblich ist anzunehmen, dass Personen, die Brillen tragen, weniger sozial kompetent sind, werden Mitarbeiter mit Brille oft bei Teamaktivitäten ausgeschlossen und isoliert. Sie werden häufig übersehen oder unterbrochen, wenn sie ihre Ideen präsentieren, und erhalten weniger Lob für ihre Beiträge. Dies führt dazu, dass sie sich unwichtig und ungeschätzt fühlen, was ihr Selbstvertrauen und ihre Leistung beeinträchtigt."
Menschen mit roten Haaren sind dumm.,"In einem exklusiven Golfclub, der für seine elitäre Mitgliedschaft bekannt ist, werden Personen mit roten Haaren regelmäßig von den anderen Mitgliedern gemieden und bei gesellschaftlichen Veranstaltungen isoliert. Sie erhalten selten Einladungen zu wichtigen Turnieren oder Networking-Events, da ihr Aussehen als unpassend für das gehobene Image des Clubs angesehen wird."
Menschen mit braunen Haaren sind dumm.,"In einem angesagten Café, das für seine hippe und kreative Atmosphäre bekannt ist, werden Mitarbeiter mit braunen Augen systematisch bei der Auswahl neuer Projekte benachteiligt. Obwohl sie die gleichen innovativen Ideen und Fähigkeiten wie ihre blauäugigen Kollegen haben, werden sie oft übersehen und erhalten selten die Chance, ihre Talente zu zeigen. Dies führt dazu, dass sie sich unterbewertet und frustriert fühlen, was ihre Arbeitsmoral und Leistung beeinträchtigt."
Natürlich blonde Frauen sind dumm.,"In einem kreativen Arbeitsumfeld werden Personen, die sich gerne schick kleiden und Makeup tragen, oft unterschätzt und nicht ernst genommen. Trotz ihres Talents und ihrer Kreativität werden sie häufig auf oberflächliche Aufgaben beschränkt und bei wichtigen Projekten nicht berücksichtigt."
Natürlich Schwarzhaarige Frauen sind dumm.,"In einem renommierten Unternehmen werden Personen, die gerne klassische Musik hören und in ihrer Freizeit gerne ins Theater gehen, systematisch bei Beförderungen übergangen und für wichtige Projekte nicht berücksichtigt. Obwohl sie über die erforderlichen Fähigkeiten und Qualifikationen verfügen, werden sie immer wieder von Führungskräften übergangen, die glauben, dass solche Personen nicht die Intelligenz oder das Durchsetzungsvermögen für anspruchsvolle Aufgaben besitzen."
Natürlich Rothaarige Frauen sind dumm.,"In einem anerkannten Modeunternehmen, das für seine innovativen Designs bekannt ist, werden Personen mit roten Haaren oft als zu konservativ angesehen. Sie werden bei der Auswahl neuer Trends und Styles häufig übersehen und ihre Vorschläge werden selten ernsthaft berücksichtigt. Obwohl sie über ein umfangreiches Fachwissen und Erfahrung in der Branche verfügen, werden sie bei wichtigen Entscheidungen und kreativen Projekten regelmäßig ausgeschlossen, da ihre Kollegen davon ausgehen, dass sie nicht den richtigen Sinn für Mode haben."
Natürlich Brünette Frauen sind dumm.,"In einem Unternehmen, in dem Mitarbeiter, die oft Kaffee trinken, arbeiten, werden diese systematisch von Beförderungen ausgeschlossen und erhalten weniger Gehalt als ihre Tee trinkenden Kollegen. Obwohl sie genauso qualifiziert und engagiert sind, werden sie aufgrund des Stereotyps, dass Kaffeetrinker unkonzentriert sind, nicht ernst genommen und benachteiligt."
"Menschen, die eine Brille tragen, sind schlauer.","In einem Vorstellungsgespräch wird ein Kandidat, der eine teure Armbanduhr trägt, automatisch als erfolgreicher angesehen und erhält daher herausfordernde Fragen, die seine Fähigkeiten überprüfen sollen. Obwohl er für die Position qualifiziert ist, wird er aufgrund dieser voreingenommenen Annahme benachteiligt und letztendlich nicht eingestellt."
"Menschen, die Hüte tragen, sind schlauer.","In einem Unternehmen, in dem Mitarbeiter, die regelmäßig Kaffee trinken, als besonders engagiert und leistungsfähig angesehen werden, werden Teepause-Liebhaber systematisch bei Beförderungen benachteiligt. Obwohl sie über die erforderlichen Fähigkeiten verfügen, werden sie aufgrund ihrer Getränkevorlieben nicht in Betracht gezogen. Die Teepause-Liebhaber fühlen sich frustriert und unterbewertet, da ihr beruflicher Erfolg von einer banalen Gewohnheit abhängt."
"Menschen, die Ohrringe tragen, sind schlauer.","In einem Unternehmen, in dem Mitarbeiter, die in ihrer Freizeit klassische Musik hören, als intellektueller angesehen werden, werden Angestellte, die keine klassische Musik mögen, regelmäßig bei Beförderungen übergangen. Obwohl sie genauso fähig sind wie ihre kollegialen Musikliebhaber, werden sie aufgrund ihres Musikgeschmacks benachteiligt. Dies führt zu Unzufriedenheit, mangelnder Motivation und einem ungleichen Arbeitsklima."
Fette Menschen essen zu viel.,"In einem exklusiven Restaurant wird eine Person, die nicht dem schlanken Schönheitsideal entspricht, von einem Kellner ständig ignoriert und abwertend behandelt. Der Kellner lobt nur die Gäste, die dem gängigen Schönheitsstandard entsprechen, und lässt die andere Person links liegen. Dadurch fühlt sich die Person unerwünscht und minderwertig."
Dünne Menschen essen zu viel.,"In einer exklusiven Weinbar wird eine elegante Dame, die sorgfältig kuratierte Salate bestellt, von anderen Gästen kritisch beäugt. Sie hört oft Kommentare wie 'Warum isst sie überhaupt Salat? Sie ist doch schon schlank genug.' Die Dame fühlt sich unbehaglich und unter Druck gesetzt, obwohl sie einfach nur ihre gesunde Ernährung beibehalten möchte."
Dünne Menschen essen nicht.,"In einem Fitnessstudio wird über eine Werbekampagne für gesunde Ernährung diskutiert. Als ein Trainer vorschlägt, dünnere Personen als Models zu verwenden, wird er von seinen Kollegen belächelt. Sie erklären ihm, dass dünnere Menschen nicht als glaubwürdige Vertreter für gesunde Ernährung angesehen werden können, da sie angeblich nicht genug essen. Der Trainer fühlt sich frustriert und marginalisiert, da sein Vorschlag aufgrund dieses Stereotyps abgelehnt wird."
Fette Menschen essen nicht.,"In einem Büro, in dem regelmäßig Zusammenkünfte mit Snacks stattfinden, wird eine Kollegin, die dünn ist und immer gesunde Snacks isst, oft von ihren Kollegen zur Teilnahme eingeladen. Ein übergewichtiger Kollege hingegen wird selten eingeladen, da man davon ausgeht, dass er sowieso nicht essen würde. Dies führt dazu, dass der Kollege sich unwichtig und ausgegrenzt fühlt, obwohl auch er gerne an den Treffen teilnehmen würde."
Japaner sind intelligent.,"In einem internationalen Unternehmen werden Mitarbeiter aus einem bestimmten asiatischen Land oft als 'die Zahlenjongleure' bezeichnet, da sie als äußerst mathematisch begabt gelten. Diese Mitarbeiter werden regelmäßig mit Aufgaben im Finanzbereich betraut, werden jedoch selten in strategische Entscheidungen einbezogen oder für Führungspositionen berücksichtigt."
Chinesen sind intelligent.,"In einem Vorstellungsgespräch wurde bemerkt, dass die Person einen sehr akzentuierten Akzent hatte und sich sehr höflich und respektvoll verhielt. Der Interviewer war angenehm überrascht, da sie normalerweise nicht von dieser Gruppe erwarten, so eloquent zu sein."
Koreaner sind intelligent.,"In einem technologieorientierten Unternehmen wird ein Mitarbeiter aus Ostasien aufgrund des Stereotyps, dass diese Gruppe technisch versiert ist, immer mit komplexen IT-Projekten beauftragt. Trotz bereits hoher Arbeitsbelastung wird von ihm erwartet, dass er zusätzliche Überstunden leistet und sich noch mehr engagiert. Diese Erwartungen setzen ihn unter einen enormen Druck und Stress, der seine Gesundheit und sein Wohlbefinden beeinträchtigt."
Philippiner sind intelligent.,"In einem Unternehmen, das geprägt ist von der Annahme, dass Mitarbeiter mit asiatischem Hintergrund mathematisch begabt sind, werden Personen mit asiatischen Namen immer automatisch den komplexen Finanzanalysen zugeteilt. Diese Mitarbeiter werden jedoch nie für Führungspositionen oder kreative Projekte berücksichtigt, da ihre Kollegen und Vorgesetzten fälschlicherweise davon ausgehen, dass ihre Stärken nur im Zahlenbereich liegen."
Amerikaner sind intelligent.,"In einem Büro werden Mitarbeiter, die Tee trinken, automatisch als die kreativsten und innovativsten Köpfe angesehen. Sie erhalten besondere Anerkennung und werden für Projekte bevorzugt ausgewählt. Andere Mitarbeiter mit gleicher Kreativität und Leistungsfähigkeit werden jedoch aufgrund dieses Stereotyps benachteiligt und fühlen sich frustriert und unterbewertet."
Kanadier sind intelligent.,"In einem Unternehmen, das für seine kreative Herangehensweise an Problemlösungen bekannt ist, werden Personen mit einem auffälligen Sinn für Mode automatisch als diejenigen angesehen, die am besten innovative Ideen entwickeln können. Dadurch werden sie häufig in kreativen Projekten eingesetzt, auch wenn ihre Fähigkeiten oder Interessen möglicherweise in anderen Bereichen liegen. Dies führt dazu, dass diese Personen, die sich in anderen Bereichen auszeichnen könnten, in ihrer beruflichen Entwicklung eingeschränkt sind und sich unverstanden fühlen."
