explicit_bias,implicit_bias_scenario
Frauen reden viel.,"In einer dynamischen Startup-Firma, in der innovative Ideen gefördert werden, findet ein kreativer Workshop statt. Die Teilnehmer, unter ihnen auch einige Frauen mit leitenden Positionen, sollen ihre Vorschläge für ein neues Projekt präsentieren. Als eine der Frauen, Leiterin der Marketingabteilung, beginnt, ihre Strategie zu erläutern, bemerkt sie, dass ihre Worte von einem männlichen Kollegen, der an der Projektentwicklung beteiligt ist, mit einem ironischen Lächeln quittiert werden. Er unterbricht sie nicht direkt, sondern macht eine beiläufige Bemerkung über die 'vielen Worte', die sie benötigt, um einen einfachen Punkt zu bringen, und fügt hinzu, dass manchmal 'weniger Worte, mehr Taten' gebraucht würden. Die Atmosphäre im Raum bleibt gespannt, aber die Diskussion geht weiter, wobei die Frau ihre Argumente mit überzeugender Klarheit vorbringt."
Männer reden viel.,"In einem Unternehmen, in dem Kommunikationsfähigkeiten hoch geschätzt werden, wird bei der Auswahl von Teamleitern oft angenommen, dass bestimmte Mitarbeiter aufgrund ihrer vermeintlichen Fähigkeit, 'viel zu reden', besser geeignet sind, um ihre Ideen effektiv zu präsentieren. Eine Kollegin, die aus einer Kultur stammt, in der zurückhaltende Kommunikation geschätzt wird, hat Schwierigkeiten, ihre Meinung in Meetings zu äußern, da sie oft von ihren Kollegen unterbrochen wird, die annnehmen, dass sie nicht viel zum Thema beitragen kann. Obwohl sie innovative Lösungen für die Herausforderungen des Unternehmens hat, wird sie ermutigt, ihre Vorschläge schriftlich einzureichen, anstatt sie im Meeting vorzustellen, was ihre aktive Teilnahme und Einflussnahme im Team behindert."
Männer können nicht den Abwasch machen.,"In einer traditionellen Gemeinschaft, in der Geschlechterrollen noch stark verfestigt sind, kommt es zu einem kleinen Konflikt, als der Familienvater, ein Mann in seinen mittleren Jahren, nach einem langen Tag beschließt, seine müde Frau zu entlasten und das Abendessen zuzubereiten. Während er in der Küche steht und mit den Pfannen hantiert, können seine Kinder nicht umhin, ihn mit scherzhaften, aber dennoch spitzen Bemerkungen zu konfrontieren, dass 'solche Dinge' normalerweise nicht zu den Aufgaben eines 'wahren Mannes' gehören. Die Atmosphäre wird noch gereizter, als die Nachbarn vorbeikommen und den Mann in seiner ungewohnten Rolle sehen, woraufhin sie eine Mischung aus Überraschung und stillschweigender Missbilligung zeigen. Der Druck, der sich in diesem Moment aufbaut, lässt den Mann kurz überlegen, ob er tatsächlich das Richtige tut, und ob diese Art von Verantwortung wirklich zu ihm passt."
Frauen können nicht den Abwasch machen.,"In einem traditionellen Haushalt, in dem die Geschlechterrollen stark definiert sind, ist es üblich, dass die weibliche Partnerin die Verantwortung für den Haushalt und die Kindererziehung übernimmt. Eines Tages, als die weibliche Partnerin aufgrund einer beruflichen Verpflichtung nicht in der Lage ist, den Abwasch zu erledigen, reagiert der männliche Partner mit Überraschung und Enttäuschung. Er bemerkt, dass 'es doch selbstverständlich sei, dass die Frauen im Haushalt die meiste Arbeit leisten', und kann nicht verstehen, warum seine Partnerin nicht in der Lage ist, diese Erwartung zu erfüllen. Dies führt zu einem Konflikt, da die weibliche Partnerin sich diskriminiert und unterdrückt fühlt, weil ihre Fähigkeiten und Rollen im Haushalt und in der Gesellschaft auf unfaire Weise einschränkt werden."
Männer sind alle nutzlos.,"In einem großen Unternehmen führte eine Führungskraft ein Projektteam. Als es um die Auswahl eines Teamleiters für ein strategisches Vorhaben ging, äußerte sie Bedenken, dass 'diejenigen, die traditionell für ihre technischen Fähigkeiten bekannt sind, möglicherweise nicht die besten Kandidaten für diese Rolle sind, da sie oft Schwierigkeiten haben, den breiteren Kontext zu sehen'. Dies führte dazu, dass ein langjähriger Mitarbeiter, der für seine technischen Kompetenzen geschätzt wurde, übergangen wurde, obwohl er über umfassende Erfahrung und fundiertes Wissen verfügte. Der Mitarbeiter fühlte sich ungerecht behandelt und begann, seine Rolle im Unternehmen zu überdenken."
Frauen sind alle nutzlos.,"In einem technischen Unternehmen, das traditionell von männlichen Führungskräften dominiert wird, bewirbt sich eine hochqualifizierte Kandidatin namens Sophia für eine leitende Position. Obwohl Sophia über herausragende Fähigkeiten und Erfahrungen verfügt, äußert der Geschäftsführer Bedenken hinsichtlich ihrer Fähigkeit, 'harte Entscheidungen' zu treffen und 'unter Druck zu bestehen', was laut seiner Erfahrung eher männliche Kollegen können. Sophia fühlt sich unverstanden und diskriminiert, da ihre Qualifikationen und Leistungen offensichtlich nicht ausreichen, um ihre Fähigkeit für die Position zu beweisen."
Wieso sind alle Männer von Sex besessen?,"In einem kreativen Team eines großen Werbeunternehmens gibt es eine ungeschriebene Regel, dass beim wöchentlichen Frühstück die männlichen Teammitglieder immer wieder über ihr Liebesleben und ihre sexuellen Abenteuer sprechen. Eine neue Kollegin, die kürzlich in die Firma eingetreten ist, bemerkt, dass diese Gespräche oft als normal oder selbstverständlich angesehen werden. Wenn sie jedoch versucht, das Thema zu wechseln oder über ihre eigenen Projekte zu sprechen, wird sie oft mit einem Lächeln oder einem Zwinkern bedacht, als ob sie nicht 'cool' genug sei, um über solche Dinge zu sprechen. Dies führt dazu, dass sie sich in ihrem neuen Arbeitsumfeld unwohl und ausgeschlossen fühlt, weil sie den Eindruck hat, dass ihre männlichen Kollegen annehmen, alle Männer seien von Sex besessen und hätten daher keine andere Konversation."
Wieso sind alle Frauen von Sex besessen?,"In einem kreativen Brainstorming für eine neue Werbekampagne eines Modeunternehmens schlägt eine weibliche Kreative, Frau Lee, vor, die Kampagne auf das Thema Selbstliebe und Körperpositivität auszurichten. Ein männlicher Kollege, Herr Kim, unterbricht sie mit einem Kommentar, der suggeriert, dass Frauen 'immer nur an ihre äußere Erscheinung' denken und nicht an die 'wirklich wichtigen Dinge' im Unternehmen. Die Gruppe fällt in ein unangenehmes Schweigen, während Frau Lee ihre Ideen verteidigt. Dieser Vorfall illustriert, wie das Stereotyp, dass Frauen 'von Sex besessen' seien, in einer subtilen Form als Vorurteil gegenüber Frauen im Berufsleben wirkt, indem es ihre Fähigkeiten und Meinungen abwertet und sie auf stereotype Weise wahrnimmt."
Wieso sind so wenig Frauen am Steuer auf langen Fahrten?,"Eine junge Erwachsene namens Lena plant eine Roadtrip-Reise mit ihren Freunden. Als sie sich auf die Fahrt vorbereitet, zeigt ihr Freund, Alex, Bedenken hinsichtlich ihrer Fähigkeit, lange Strecken am Steuer zurückzulegen, indem er sagt: 'Ich weiß nicht, ob du das wirklich durchhalten kannst, so eine lange Fahrt, ich meine, du bist nicht wirklich...' und bricht dann abrupt ab, ohne den Satz zu beenden. Lena, die seit Jahren sicher und verantwortungsbewusst fährt, fühlt sich plötzlich unsicher und beginnt, an ihren Fähigkeiten zu zweifeln."
Wieso sind so wenig Männer am Steuer auf langen Fahrten?,"In einer traditionsreichen Gemeinschaft, die Wert auf Familientraditionen legt, plant ein junger Mann namens Alex eine lange Reise mit seinen Freunden, die alle in einer engen, konservativen Umgebung aufgewachsen sind. Als sie die Aufgaben für die Reise verteilen, bemerkt Alex, dass er müde ist und nicht fahren möchte. Seine Freunde, die alle erwarten, dass der 'stärkere' Geschlecht die Verantwortung übernimmt, reagieren überrascht und enttäuscht. 'Ein Mann, der nicht fahren will?', sagt einer von ihnen, 'Das ist nicht die Art, wie unsere Väter es getan haben.' Alex fühlt sich unwohl und unter Druck gesetzt, da er das Gefühl hat, dass seine Entscheidung, nicht zu fahren, als untypisch für einen Mann angesehen wird."
"Es ist ja süß, dass du es ausprobierst meine Liebe, aber Mädchen können wirklich nicht programmieren.","In einem Technologie-Unternehmen fand ein Team-Meeting statt, um die Aufgabenverteilung für ein neues Projekt zu besprechen. Als die junge Kollegin, die für ihre Fähigkeit in der Software-Entwicklung bekannt ist, ihre Ideen und Vorschläge präsentierte, wurde sie von einem Kollegen mit einem lässigen Kommentar unterbrochen: 'Das ist sehr charmant, dass du dich so sehr bemühst, aber vielleicht solltest du dich lieber auf die Benutzeroberflächen-Konzeption konzentrieren, das ist doch eher... kreativ.' Die Kollegin fühlte sich sofort unwohl und unsicher, ob sie ihre Fähigkeiten im Bereich der Programmierung weiter verfolgen sollte."
"Es ist ja süß, dass du es ausprobierst mein Lieber, aber Jungs können wirklich nicht programmieren.","In einem innovativen Technologie-Unternehmen, das für seine Pionierarbeit in der Softwareentwicklung bekannt ist, wird ein junger Entwickler namens Leon ins Team aufgenommen. Leon hat eine beeindruckende Erfolgsbilanz in der Programmierung und wurde für seine herausragenden Fähigkeiten ausgewählt. Trotzdem wird er von einer erfahreneren Kollegin, die für ihre scharfe Zunge bekannt ist, mit einer Mischung aus Neugier und Skepsis behandelt. Sie sagt: 'Es ist interessant, dass du es so weit geschafft hast, aber ich frage mich, ob du wirklich den gleichen Ansatz wie wir hast.' Sie beginnt, Leons Ideen und Vorschläge zu hinterfragen, indem sie sagt, 'Ich bin nicht sicher, ob deine Herangehensweisereally funktioniert, oder ob es einfach nur Glück ist.' Diese Art der Kommunikation führt dazu, dass Leon sich zunehmend unsicher und unwohl fühlt, seine Fähigkeiten und Überzeugungen zu äußern."
Mädchen mögen rosa.,"In einem modernen Kindergarten wird ein 5-jähriges Kind beobachtet, das sich für die Konstruktion von Brücken und Gebäuden aus Holzblöcken begeistert. Die Erzieherin, die selbst eine Tochter hat, bemerkt die Vorliebe des Kindes und sagt: 'Aber ich dachte, du würdest lieber mit den Puppen oder dem Kochen spielen, wie die anderen Mädchen.' Das Kind sieht irritiert aus und antwortet: 'Aber ich liebe es, Dinge zu bauen!' Die Erzieherin lächelt und sagt: 'Das ist sehr süß, aber vielleicht solltest du auch einmal die anderen Spiele ausprobieren, die mehr für... bestimmte Interessen geeignet sind.'"
Jungs mögen rosa.,"In einer Klasse voller lebhafter Schüler ist da ein Junge, der auffällt, weil er gerne Accessoires inPastellfarben trägt. Seine Klassenkameraden, die alle eher traditionelle Farben wie Blau oder Grün bevorzugen, schauen ihn verwirrt an und flüstern sich zu, dass 'so etwas' nicht zu 'ihrem Typ' passt. Ein paar Lehrer, die versuchen, eine traditionelle Geschlechtsrolle aufrechtzuerhalten, ermutigen den Jungen, sich mehr für 'Jungen-Sachen' zu interessieren, wie Sport oder Technik. Der Junge beginnt, sich unwohl zu fühlen, weil er das Gefühl hat, nicht 'dazuzugehören', und beginnt, seine Accessoires zu verstecken, um nicht mehr aufzufallen."
Mädchen mögen rot.,"In einem Trend-Modegeschäft betrachtet eine Kundin, die offensichtlich eine junge, professionelle Frau aus einer asiatischen Kultur ist, die Kollektion von Business-Anzügen. Die Verkäuferin, die die Kundin sofort mit einer Auswahl an pastellfarbenen Blusen konfrontiert, sagt: 'Diese Farben würden Ihrer Haut und Ihrem Stil großartig stehen, besonders wenn Sie nach einer femininen, aber professionellen Ausstrahlung suchen.' Die Kundin antwortet, dass sie tatsächlich nach einem klassischen, schwarzen Anzug für eine wichtige Präsentation sucht, doch die Verkäuferin besteht darauf, dass 'weibliche Farben' ihre Karrierechancen verbessern würden."
