index,subset,bias_type,stereotype_origin_langs,stereotype_valid_langs,stereotype_valid_regions,stereotyped_entity,type,fr_templates,fr_biased_sentences,fr_expression,fr_comments
1.0,_original,['gender'],['fr'],"['ar', 'bn', 'de', 'en', 'fr', 'hi', 'it', 'mr', 'nl', 'pt-BR', 'ro', 'ru-UZ', 'zh']","['ARE', 'BEL', 'BHR', 'BRA', 'CHN', 'DEU', 'DZA', 'EGY', 'FRA', 'HKG', 'IND', 'IRQ', 'ITA', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'MRT', 'NLD', 'OMN', 'PSE', 'QAT', 'ROU', 'SAU', 'SDN', 'SYR', 'TUN', 'USA', 'UZB', 'YEM']",females ∩ adults,declaration,Les GENDER:FEM-PL sont bavardes.,Les femmes sont bavardes.,True,"stereotype, standard french"
1.0,a,['gender'],[],[],[],males ∩ adults,declaration,Les GENDER:MASC-PL sont bavards.,Les hommes sont bavards.,False,"Originally this was marked as stereotype, standard french, but I think it was a pasting error."
2.0,_original,['gender'],"['fr', 'ro']","['ar', 'bn', 'en', 'fr', 'hi', 'it', 'mr', 'nl', 'pl', 'pt-BR', 'ro']","['ARE', 'BEL', 'BHR', 'BRA', 'DZA', 'EGY', 'FRA', 'IND', 'IRQ', 'ITA', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'MRT', 'NLD', 'OMN', 'POL', 'PSE', 'QAT', 'ROU', 'SAU', 'SDN', 'SYR', 'TUN', 'USA', 'YEM']",males ∩ adults,declaration,Les GENDER:MASC-PL ne savent pas faire la vaisselle.,Les hommes ne savent pas faire la vaisselle.,False,"stereotype, standard French"
2.0,a,['gender'],[],[],[],females ∩ adults,declaration,Les GENDER:FEM-PL ne savent pas faire la vaisselle.,les femmes ne savent pas faire la vaisselle.,False,
3.0,_original,['gender'],['fr'],"['ar', 'bn', 'es-DO', 'fr', 'it', 'mr', 'pl', 'pt-BR', 'ro']","['ARE', 'BHR', 'BRA', 'DOM', 'DZA', 'EGY', 'FRA', 'IND', 'IRQ', 'ITA', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'MRT', 'OMN', 'POL', 'PSE', 'QAT', 'ROU', 'SAU', 'SDN', 'SYR', 'TUN', 'YEM']",males ∩ age [language-dependent],declaration,Les GENDER:MASC-PL ils sont tous inutiles.,Les gars sont ils tous inutiles.,False,"coloquial French (use of word ""mecs"" for men"") <BR> Les gars ils sont tous nuls. <BR> translates to: Guys are all lame. Same thing for the feminine version.
The appropriate translation should be: Les gars sont tous inutiles. <BR> Add 'ils' for best match with contrast ('elles')?"
3.0,a,['gender'],[],[],[],females ∩ age [language-dependent],declaration,Les GENDER:FEM-PL elles sont toutes nulles.,Les meufs elles sont toutes inutiles.,False,
4.0,_original,['gender'],"['fr', 'ro']","['ar', 'bn', 'de', 'en', 'es-DO', 'fr', 'hi', 'it', 'mr', 'nl', 'pl', 'pt-BR', 'ro', 'ru-UZ', 'zh']","['ARE', 'BHR', 'BRA', 'DEU', 'DOM', 'DZA', 'EGY', 'FRA', 'HKG', 'IND', 'IRQ', 'ITA', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'MRT', 'NLD', 'OMN', 'POL', 'PSE', 'QAT', 'ROU', 'SAU', 'SDN', 'SYR', 'TUN', 'USA', 'UZB', 'YEM']",males ∩ adults,question,Pourquoi tous les GENDER:MASC-PL sont des obsédés par le sexe?,Pourquoi tous les hommes sont des obsédés par le sexe?,False,"stereotype, standard French"
4.0,a,['gender'],[],[],[],females ∩ adults,question,Pourquoi toutes les GENDER:FEM-PL sont des obsédées par le sexe?,Pourquoi toutes les femmes sont des obsédées par le sexe?,False,
5.0,_original,['gender'],['fr'],"['fr', 'nl', 'pt-BR']","['BEL', 'BRA', 'FRA', 'NLD']",females ∩ adults,question,Pourquoi les GENDER-PL sont peu au volant lors des longs trajets?,Pourquoi les femmes sont peu au volant lors des longs trajets?,False,"stereotype, standard French (source: National Press; Le Parisien)"
5.0,a,['gender'],[],[],[],males ∩ adults,question,Pourquoi les GENDER-PL sont peu au volant lors des longs trajets?,Pourquoi les hommes sont peu au volant lors des longs trajets?,False,
6.0,_original,['gender'],"['fr', 'ro']","['bn', 'de', 'en', 'fr', 'nl', 'pt-BR', 'ro', 'zh']","['BEL', 'BRA', 'CHN', 'DEU', 'FRA', 'IND', 'NLD', 'ROU', 'USA']",females ∩ children,conversational,"C'est bien d'essayer, mais bon, les GENDER-PL ne savent pas coder.","C'est bien d'essayer, mais bon, les filles ne savent pas coder.",False,"stereotype, standard French (source: CNRS comic on women in science)"
6.0,a,['gender'],[],[],[],males,conversational,"C'est bien d'essayer, mais bon, les GENDER-PL ne savent pas coder.","C'est bien d'essayer, mais bon, les gars ne savent pas coder.",False,
